F2,F3,F1,F11,F4,F6,F10,F9,F5,F7,F12,F8,out
2.239,3.126,1.406,1.083,2.939,0.199,1.129,0.188,0.3625,0.1526,5.348,0.1697,a
2.317,3.219,1.644,1.046,2.542,0.1782,1.194,0.2307,0.3284,0.2771,4.972,0.155,a
2.375,3.077,1.378,1.069,2.708,0.2209,1.141,0.2246,0.4041,0.1196,5.724,0.1892,a
2.379,3.319,1.537,1.007,2.772,0.2161,1.13,0.2551,0.2209,0.3027,5.271,0.1611,a
2.33,3.313,1.583,1.121,2.811,0.166,1.191,0.2222,0.2246,0.1892,5.206,0,a
2.103,3.126,1.527,1.007,2.848,0.2051,1.248,0.2319,0.2136,0.1904,5.625,0.1038,a
2.39,3.158,1.819,1.03,2.511,0.1355,1.125,0.1062,0.2722,0.1721,5.348,0.09277,a
2.368,3.29,1.573,0.9717,2.869,0.2515,1.184,0.249,0.1562,0.2393,5.356,0.1013,a
2.358,3.131,1.516,1.053,2.816,0.1538,1.205,0.1819,0.1514,0.2332,5.017,0.1489,a
2.267,3.154,1.63,0.9729,2.919,0.1392,1.095,0.06836,0.3027,0.1184,5.02,0.2039,a
2.279,3.182,1.497,1.101,2.947,0.1831,1.195,0.2698,0.282,0.2356,5.205,0.127,a
2.366,3.35,1.688,1.094,3.043,0.1685,1.187,0.3662,0.2515,0.238,5.33,0.1562,a
2.273,3.232,1.741,1.016,3.059,0.2051,1.251,0.2576,0.1575,0.2222,5.382,0.1648,a
2.247,3.367,1.703,1.079,3.052,0.07446,1.2,0.2356,0.2759,0.1758,5.43,0.1221,a
2.142,3.463,2.643,1.102,3.121,0.271,1.201,0.2209,0.2271,0.1782,5.677,0.0708,a
2.317,3.357,3.151,1.051,3.575,0.08179,1.107,0.199,0.1599,0.2661,4.746,0.1807,a
2.207,3.824,3.923,0.9119,4.642,0.3186,1.167,0.4333,0.6702,0.4956,5.17,0.2136,a
2.019,4.781,4.102,1.205,5.681,0.426,1.251,0.8264,1.282,0.8521,5.204,0.3638,a
2.086,4.714,4.435,1.31,5.864,0.7373,1.467,1.467,1.707,0.791,5.754,0.4675,a
1.963,5.277,4.103,2.312,5.878,0.9705,1.81,1.912,1.842,0.8752,4.922,0.5347,a
1.788,5.488,4.457,5.317,5.916,1.232,3.182,2.081,2.103,1.025,5.082,0.5664,a
1.779,5.64,4.515,5.526,5.953,1.401,5.111,2.206,2.219,1.147,5.577,0.4736,a
1.761,5.778,4.258,5.244,5.916,1.602,5.15,2.228,2.175,1.058,5.414,0.5981,a
1.698,5.748,4.493,5.393,5.886,1.676,5.004,2.456,2.383,1.202,4.696,0.4077,a
1.627,5.775,4.563,5.503,5.979,1.848,5.061,2.311,2.294,0.9766,5.763,0.6555,a
1.51,5.275,4.392,5.447,5.972,1.915,5,2.307,2.551,1.184,5.769,0.5615,a
1.44,5.459,4.409,5.463,5.972,2.002,5.198,2.382,2.482,1.007,5.38,0.5774,a
1.539,5.436,4.398,5.261,5.962,2.04,5.105,2.462,2.573,1.013,5.076,0.7031,a
1.538,5.391,4.441,5.538,5.959,2.136,5.105,2.561,2.616,1.195,4.854,0.6311,a
1.458,5.806,4.419,5.403,5.886,2.029,5.106,2.395,2.572,1.244,5.53,0.6555,a
1.421,5.387,4.578,5.426,5.975,2.129,5.087,2.468,2.754,1.144,5.139,0.7983,a
1.345,5.824,4.562,5.321,5.948,2.118,5.125,2.346,2.507,1.162,5.043,0.5127,a
1.167,5.564,4.427,5.424,5.963,2.203,5.002,2.394,2.603,1.113,5.398,0.6995,a
1.323,5.4,4.57,5.566,5.977,2.108,5.033,2.448,2.527,0.9351,4.761,0.6445,a
1.284,5.4,4.443,5.492,5.907,2.183,5.074,2.5,2.524,1.198,5.515,0.5896,a
1.348,5.845,4.421,5.548,5.911,2.183,5.155,2.393,2.483,1.14,5.516,0.7788,a
1.177,5.747,4.526,5.309,5.896,2.009,5.144,2.468,2.365,1.266,4.686,0.697,a
1.097,5.608,4.52,5.385,6.011,2.217,5.088,2.422,2.555,1.21,5.499,0.6018,a
1.116,5.654,4.348,5.616,5.956,2.257,5.071,2.336,2.478,1.217,5.712,0.6409,a
1.207,5.659,4.705,5.297,5.931,2.231,5.062,2.505,2.583,1.145,5.77,0.7458,a
1.224,5.654,4.615,5.314,6.011,2.2,5.009,2.532,2.488,1.147,5.52,0.5481,a
1.079,5.791,4.373,5.38,5.927,2.123,4.988,2.469,2.516,1.156,5.742,0.5579,a
1.078,5.374,4.507,5.414,5.906,2.233,5.063,2.399,2.48,1.118,5.348,0.6995,a
1.03,5.773,4.443,5.482,5.951,2.106,5.154,2.406,2.489,1.115,5.504,0.5103,a
1.111,5.748,4.702,5.409,6.013,2.109,5.01,2.471,2.529,1.146,5.737,0.6116,a
1.144,5.457,4.592,5.273,5.876,2.189,5.046,2.379,2.294,1.169,5.447,0.5493,a
1.127,5.608,4.67,5.438,5.925,2.292,5.148,2.537,2.362,1.116,5.415,0.5151,a
1.075,5.869,4.43,5.599,5.874,2.037,5.081,2.283,2.458,1.117,5.505,0.6384,a
1.056,5.782,4.498,5.251,5.89,2.159,5.083,2.415,2.432,1.199,5.419,0.6897,a
1.08,5.664,4.637,5.269,5.931,2.061,5.267,2.466,2.399,1.104,4.863,0.5688,a
1.167,5.468,4.562,5.51,5.985,2.109,5.067,2.411,2.483,1.201,5.048,0.5603,a
1.067,5.608,4.576,5.453,5.906,2.073,4.939,2.262,2.4,1.152,4.849,0.7031,a
1.089,5.847,4.677,5.508,5.937,2.058,5.146,2.256,2.38,1.144,5.304,0.6433,a
1.028,5.363,4.482,5.425,5.924,2.114,5.126,2.355,2.268,1.108,5.021,0.6482,a
0.9778,5.582,4.55,5.339,5.947,2.068,4.973,2.354,2.544,1.118,5.547,0.5579,a
1.066,5.444,4.446,5.288,5.929,2.111,5.024,2.423,2.361,1.036,5.585,0.6812,a
1.063,5.814,4.612,5.269,5.9,2.141,5.132,2.288,2.379,1.068,5.536,0.5786,a
0.918,5.428,4.563,5.347,5.891,1.954,5.033,2.41,2.34,1.068,4.819,0.6348,a
0.9827,5.402,4.529,5.524,5.895,2.097,5.11,2.375,2.39,1.097,5.319,0.5774,a
0.9631,5.736,4.711,5.354,5.897,2.068,5.029,2.422,2.371,0.9717,5.728,0.6116,a
1.002,5.685,4.485,5.399,5.937,2.065,5.005,2.33,2.307,1.046,4.922,0.5359,a
0.8838,5.377,4.645,5.266,5.803,2.108,5.192,2.393,2.393,1.028,4.878,0.6116,a
1.084,5.731,4.595,5.255,5.874,2.05,5,2.363,2.299,1.056,5.818,0.6152,a
0.8521,5.645,4.504,5.359,5.914,2.107,4.923,2.198,2.334,1.099,4.825,0.5298,a
1.047,5.338,4.44,5.509,5.861,2.144,5.133,2.336,2.301,0.9485,4.952,0.5859,a
0.9375,5.887,4.432,5.476,5.868,2.096,5.131,2.363,2.352,0.9729,5.746,0.5969,a
1.005,5.675,4.54,5.276,5.862,2.01,5.01,2.371,2.231,1.101,5.488,0.6909,a
1.029,5.652,4.656,5.293,5.916,2.08,4.998,2.311,2.341,1.021,5.677,0.6812,a
0.9265,5.638,4.636,5.53,5.854,2.072,5.156,2.324,2.29,1.006,5.244,0.5713,a
0.9534,5.658,4.425,5.411,5.859,2.142,5.162,2.349,2.308,1.068,5.317,0.481,a
0.9668,5.424,4.49,5.417,5.916,2.025,5.247,2.301,2.288,1.024,5.201,0.5261,a
1.003,5.422,4.562,5.291,5.847,2.036,4.923,2.361,2.139,1.005,5.541,0.5811,a
0.9961,5.636,4.65,5.344,5.813,2.155,5.039,2.275,2.096,1.023,4.775,0.5066,a
1.016,5.465,4.617,5.461,5.864,1.991,5.133,2.394,2.223,0.9973,5.554,0.6628,a
0.9644,5.592,4.546,5.309,5.933,2.039,4.913,2.288,2.263,1.133,5.624,0.5786,a
0.968,5.713,4.362,5.45,5.82,2.015,5.084,2.308,2.244,1.066,5.573,0.553,a
0.9534,5.381,4.438,5.458,5.852,2.041,4.988,2.402,2.311,0.9924,5.117,0.5432,a
0.9985,5.404,4.501,5.521,5.845,2.039,4.991,2.209,2.113,0.957,5.333,0.6714,a
0.9155,5.67,4.42,5.432,5.854,1.996,5.048,2.406,2.266,1.077,5.457,0.6006,a
2.214,2.908,1.207,0.9546,2.531,0.2173,0.9436,0.1562,0.2515,0.1819,5.453,0.1428,a
2.251,2.9,1.257,1.096,2.567,0.2112,0.9766,0.3577,0.1794,0.1978,5.737,0.04517,a
2.297,2.893,1.139,1.029,2.546,0.09521,0.9595,0.1477,0.2502,0.2258,5.449,0.1855,a
2.201,3.053,1.232,0.9229,2.556,0.09521,0.9485,0.1855,0.2869,0.1721,5.616,0.1733,a
2.307,2.981,1.25,0.9546,2.361,0.06226,1.064,0.1636,0.2686,0.01831,5.479,0.1636,a
2.269,2.849,1.154,0.9473,2.437,-0.1062,0.9753,0.2026,0.1648,0.0708,4.937,0.1746,a
2.314,2.891,1.238,0.9802,2.422,0.09766,0.9851,0.1428,0.2612,-0.01587,4.951,0.127,a
2.384,3.024,1.219,0.9448,2.487,0.2783,1.1,0.2734,0.271,0.1965,5.32,0.009766,a
2.393,2.942,1.241,1.057,2.467,0.2588,1.038,0.3186,0.1562,0.249,5.005,0.1648,a
2.316,2.74,1.249,0.9436,2.357,0.1624,0.9717,0.2222,0.1685,0.1501,5.182,0.26,a
2.45,2.799,1.178,0.9949,2.339,0.08301,0.9802,0.1404,0.2039,0.1318,5.602,0.0647,a
2.474,3.022,1.201,1.01,2.509,0.127,1.05,0.2307,0.1892,0.3528,5.662,0.2185,a
2.205,2.876,1.287,0.9448,2.545,0.1318,0.9631,0.3333,0.1831,0.2393,5.677,0.06714,a
2.196,2.893,1.216,0.7043,2.573,0.1355,0.9448,0.2368,0.2747,0.08301,4.91,0.06592,a
2.411,2.783,1.151,1.051,2.521,-0.1758,1.077,0.2405,0.1733,0.1917,5.171,0.1172,a
2.266,2.706,1.129,0.9912,2.61,0.09399,0.9802,0.199,0.3198,0.08545,5.256,0.1489,a
2.288,2.87,1.216,1.085,2.572,0.1807,0.9692,0.2539,0.2661,0.2576,5.316,0.3113,a
2.556,2.905,1.184,1.08,2.506,0.1782,1.027,0.2075,0.2429,0.2124,4.718,0.1575,a
2.253,3.049,1.156,0.9753,2.611,0.2454,0.8899,0.332,0.2258,0.1379,5.608,0.1465,a
2.397,3.035,1.178,0.8057,2.538,0.2966,0.9583,0.2026,0.09399,0.1514,5.553,0.1343,a
2.333,2.976,1.145,1.005,2.614,0.1416,0.9143,0.2246,0.188,0.1868,5.668,0.09644,a
2.214,2.924,1.293,1.072,2.708,0.2197,1.011,0.116,0.1404,0.1428,4.827,0.1709,a
2.206,2.782,1.229,1.055,2.417,0.08423,1.01,0.09155,0.2344,0.1013,5.571,0.07812,a
2.406,3.08,1.178,1.116,2.687,-0.09155,1.222,0.1709,0.2527,0.1782,5.422,0.2612,a
2.244,2.828,1.201,0.9595,2.588,0.03418,0.9839,0.2942,0.1257,0.003662,5.61,0.2234,a
2.246,2.823,1.288,0.9094,2.693,0.08179,0.8984,0.1453,0.2417,0.1611,4.952,0.1416,a
2.371,2.827,1.289,1.072,2.773,-0.08667,0.929,0.2234,0.2185,0.2039,5.115,0.04639,a
2.264,2.781,1.273,0.957,2.708,0.1453,0.8667,0.2759,0.1074,0.2173,4.767,0.1721,a
2.18,2.855,1.245,0.8691,2.844,0.2075,1.013,0.3198,0.2087,0.3394,5.71,0.1514,a
2.354,2.764,1.304,0.8643,2.815,0.1538,0.9778,0.1416,0.1733,0.07446,5.135,-0.009766,a
2.294,2.854,1.266,0.9778,2.786,0.05981,0.9802,0.2954,0.3088,0.2246,5.206,0.06714,a
2.195,3.064,1.263,1.066,2.957,0.2148,0.9595,0.155,0.2234,0.09888,5.521,0.1733,a
2.338,2.808,1.26,0.8508,2.762,0.1099,1.005,0.321,0.2124,0.1892,4.788,0.05127,a
2.192,2.926,1.548,0.8228,2.717,0.1599,1.014,0.2148,0.3259,0.1501,5.496,0.1453,a
2.198,3.119,2.385,0.9705,3.724,0.1965,0.9387,0.531,0.7214,0.3149,5.265,0.2441,a
2.053,3.621,3.059,0.8899,5.443,0.8081,0.9375,0.719,1.001,0.5054,5.16,0.3552,a
1.93,4.855,3.533,1.019,5.397,1.376,0.9082,0.99,1.2,0.6482,5.334,0.3552,a
1.741,5.148,3.655,1.067,5.406,1.685,1.132,1.224,1.262,0.7312,5.553,0.3625,a
1.649,4.977,3.846,1.472,5.604,1.918,1.445,1.155,1.299,0.6897,5.043,0.4883,a
1.638,5.267,3.931,1.692,5.641,2.229,1.77,1.29,1.313,0.7825,5.209,0.293,a
1.611,5.162,3.958,1.951,5.698,2.034,2.307,1.37,1.453,0.6702,4.749,0.4639,a
1.429,5.411,4.181,1.982,5.656,2.198,2.952,1.45,1.442,0.7739,5.082,0.6201,a
1.362,5.58,3.851,2.194,5.881,2.28,3.74,1.404,1.469,0.8313,5.162,0.5957,a
1.47,5.58,4.106,2.24,5.66,2.239,3.942,1.417,1.42,0.7874,4.758,0.5188,a
1.372,5.476,3.966,2.195,5.612,2.305,4.365,1.394,1.422,0.7947,5.535,0.459,a
1.322,5.129,4.135,2.406,5.59,2.283,4.736,1.416,1.346,0.7202,5.342,0.5103,a
1.193,5.432,4.02,2.512,5.841,2.368,5.017,1.387,1.461,0.7812,5.284,0.5164,a
1.035,5.601,4.144,2.59,5.763,2.262,4.937,1.335,1.46,0.8655,5.458,0.4785,a
1.077,5.24,4,2.617,5.674,2.321,5.135,1.404,1.34,0.7947,5.4,0.4102,a
1.172,5.458,4.26,2.795,5.496,2.253,5.106,1.479,1.383,0.8069,5.375,0.3821,a
1.145,5.544,4.265,2.731,5.806,2.28,4.994,1.382,1.355,0.7251,5.421,0.3418,a
1.066,5.691,4.211,2.683,5.576,2.218,5.184,1.359,1.392,0.8862,5.354,0.5481,a
1.022,5.171,3.998,2.778,5.742,2.38,5.015,1.243,1.368,0.7056,5.476,0.4529,a
1.051,5.321,3.947,2.716,5.826,2.264,5.123,1.373,1.326,0.8057,5.134,0.5505,a
1.068,5.54,4.224,2.733,5.73,2.257,5.215,1.453,1.364,0.7214,5.161,0.498,a
1.061,5.122,3.976,2.777,5.8,2.283,5.227,1.368,1.39,0.7727,5.452,0.4358,a
0.9778,5.31,4.191,2.726,5.581,2.136,5.2,1.205,1.256,0.8179,5.391,0.4285,a
1.077,5.569,3.962,2.842,5.802,2.234,5.131,1.465,1.384,0.6726,5.509,0.4089,a
1.051,5.448,3.995,2.999,5.458,2.344,4.933,1.425,1.273,0.6592,4.832,0.4675,a
0.8838,5.176,3.96,2.773,5.793,2.135,5.046,1.207,1.283,0.6921,5.068,0.5042,a
1.074,5.47,4.021,2.784,5.677,2.18,4.972,1.292,1.443,0.7007,5.199,0.448,a
1.001,5.278,4.207,2.947,5.837,2.181,4.966,1.346,1.262,0.7788,5.62,0.3589,a
1.101,5.608,4.136,2.784,5.519,2.136,5.165,1.296,1.3,0.7019,5.366,0.6531,a
0.8997,5.262,3.888,2.838,5.693,2.118,5.128,1.328,1.283,0.7849,5.028,0.5627,a
1.084,5.111,4,2.827,5.505,2.072,5.206,1.309,1.215,0.7422,5.353,0.5017,a
0.9216,5.178,3.9,2.783,5.461,2.295,5.049,1.265,1.277,0.7336,5.222,0.2075,a
1.075,5.278,4.087,2.853,5.575,2.048,5.089,1.318,1.281,0.7141,5.505,0.4309,a
1.052,5.691,3.978,2.755,5.625,2.107,5.021,1.381,1.219,0.7532,5.392,0.4431,a
1.027,5.33,4.103,2.915,5.505,2.015,5.154,1.273,1.244,0.7129,5.52,0.3699,a
1.049,5.311,4.161,2.719,5.22,2.031,5.175,1.204,1.215,0.6726,5.092,0.4419,a
1.003,5.667,3.894,2.744,5.713,2.052,5.077,1.266,1.16,0.6873,4.963,0.3821,a
0.9985,5.52,3.976,2.955,5.582,2.063,5.054,1.212,1.15,0.6396,5.63,0.2954,a
0.8582,5.044,3.94,2.813,5.413,1.763,5.054,1.149,1.075,0.6042,5.166,0.4285,a
0.9534,5.194,3.787,2.738,5.149,1.862,4.961,1.093,1.13,0.6702,5.082,0.4663,a
0.9851,4.954,3.806,2.7,5.435,1.906,5.026,1.161,1.141,0.6848,4.843,0.3552,a
0.8948,5.773,3.834,2.609,5.315,2.017,5.16,1.097,1.029,0.6006,5.452,0.4639,a
1.167,5.286,3.796,2.593,5.25,1.74,5.125,1.1,1.09,0.6982,5.466,0.4138,a
0.8813,5.222,3.682,2.654,5.543,1.967,5.192,1.119,1.01,0.6445,5.667,0.4175,a
1.005,5.283,3.751,2.539,5.476,1.898,5.024,1.113,1.018,0.7019,4.803,0.4358,a
0.9229,5.593,3.866,2.457,5.193,1.87,5.095,1.058,0.9521,0.509,4.812,0.3796,a
1.039,4.957,3.771,2.643,5.197,1.838,5.098,1.102,0.8618,0.5176,5.397,0.3918,a
0.918,5.134,3.89,2.606,4.994,1.748,5.059,0.9851,1.086,0.5396,5.299,0.3589,a
0.8411,5.597,3.827,2.694,5.238,1.764,5.017,0.9424,0.9399,0.5566,5.552,0.3235,a
1.029,5.195,3.669,2.516,5.344,1.705,5.117,0.9302,0.9521,0.5273,5.327,0.3198,a
0.9009,5.238,3.589,2.518,5.155,1.663,4.889,0.9351,0.8325,0.5994,5.171,0.3894,a
1.082,5.475,3.789,2.385,4.871,1.542,4.945,1.08,0.9033,0.5688,5.35,0.2332,a
0.8777,4.949,3.556,2.231,5.361,1.633,5.007,1.036,0.9045,0.5225,5.42,0.2197,a
0.9387,5.062,3.589,2.444,4.874,1.79,5.039,1.069,0.8936,0.5554,5.667,0.4248,a
0.9546,5.602,3.551,2.551,4.773,1.597,5.131,0.9009,0.896,0.4541,5.449,0.293,a
0.9216,5.625,3.469,2.368,4.797,1.525,5.052,0.7971,0.8008,0.553,4.686,0.1819,a
0.8252,5.507,3.7,2.406,4.753,1.417,5.063,0.9131,0.7324,0.4541,5.352,0.3491,a
1.016,5.375,3.531,2.489,5.055,1.464,5.072,0.7971,0.7434,0.4358,5.692,0.3552,a
1.914,3.063,1.361,0.9509,2.565,0.1062,0.9448,0.08545,0.1831,0.2576,5.693,0.1672,a
1.924,2.896,1.39,0.9912,2.423,0.188,0.9216,0.1892,0.2185,0.1111,5.641,0.07935,a
1.907,2.953,1.404,0.9277,2.278,0.07202,1.023,0.2808,0.1953,0.2625,5.042,0.1013,a
1.816,3.213,1.473,1.039,2.388,0.3784,0.9155,0.1953,0.3198,0.06958,5.499,-0.002441,a
1.687,3.234,1.306,1.044,2.6,0.188,0.8936,0.3699,0.2698,0.02808,4.865,0.07324,a
1.808,3.103,1.553,0.9277,2.679,0.1526,0.918,0.1904,0.1697,0.271,5.222,0.1453,a
1.945,3.198,1.276,0.9973,2.645,0.2173,0.9216,0.2222,0.1294,0.2539,5.675,0.1367,a
1.765,3.203,1.51,0.9778,2.517,-0.05859,0.9863,0.166,0.1636,0.1917,5.078,0.1514,a
1.888,3.087,1.321,0.9985,2.588,0.04639,0.9888,0.2222,0.1465,0.2612,5.684,0.2454,a
1.938,3.215,1.448,0.9888,2.557,-0.1514,0.9424,0.2527,0.2136,0.2698,4.885,0.1367,a
1.893,2.976,1.37,1.016,2.483,0.2893,1.023,0.1819,0.2734,0.144,4.971,0.1355,a
1.882,3.187,1.228,1.079,2.451,0.1807,0.9888,0.1306,0.387,0.144,4.885,0.2588,a
1.82,3.201,1.307,1.067,2.628,0.2295,0.9888,0.1611,0.2832,0.1758,5.176,0.05249,a
1.897,3.085,1.366,0.9143,2.31,0.1575,0.9143,0.1636,0.2039,0.1941,5.127,0.08179,a
2.069,2.991,1.365,0.9058,2.637,0.2686,1.053,0.1648,0.1892,0.2136,5.449,0.1392,a
1.941,3.197,1.327,0.957,2.491,0.2087,0.9338,0.1807,0.1013,0.1685,5.564,0.1465,a
1.733,3.002,1.324,0.9766,2.727,0.1489,0.9619,0.2417,0.2148,0.116,5.693,0.09644,a
1.99,2.933,1.426,0.9119,2.561,0.2612,0.9558,0.199,0.09399,0.1807,5.342,0.144,a
1.964,3.093,1.24,1.017,2.546,0.166,0.9607,0.127,0.2063,0.155,5.499,0.155,a
1.981,3.059,1.349,1.031,2.605,0.166,0.9192,0.3796,0.1221,0.1819,4.839,0.1636,a
2.007,3.015,1.359,0.918,2.667,0.2332,0.9387,0.1135,0.3381,0.1489,5.447,0.08545,a
2.024,3.203,1.461,0.9875,2.681,0.2734,1.075,0.2661,0.3113,0.1416,5.166,0.1392,a
1.868,3.174,1.447,1.068,2.418,0.2332,0.9106,0.188,0.2844,0.02686,5.592,0.07202,a
1.636,3.073,1.294,1.093,2.678,0.3162,1.071,0.2563,0.2759,0.1416,5.685,0.09766,a
1.832,3.224,1.299,0.7678,2.594,0.08545,1.034,0.2783,0.188,0.2319,5.343,0.1709,a
1.984,3.025,1.342,1.028,2.676,0.1501,1.039,0.3088,0.2173,0.1562,5.609,0.07812,a
1.897,3.021,1.342,0.9399,2.52,0.177,0.9619,0.1782,0.2002,0.2014,5.674,0.1721,a
1.93,3.208,1.418,0.9351,2.515,0.1733,0.863,0.2502,0.238,0.1855,5.422,0.05493,a
1.86,3.25,1.346,0.9729,2.494,0.1257,0.9717,0.105,0.2771,0.1904,4.781,0.1038,a
1.844,3.148,1.29,0.8899,2.604,0.1831,1.016,0.144,0.1404,0.1172,5.302,0.08667,a
1.993,3.036,1.166,1.016,2.507,0.01831,0.946,0.2795,0.1221,0.1086,5.638,0.105,a
1.942,3.093,1.377,0.9595,2.517,0.1416,0.9302,0.2087,0.2795,0.1282,4.828,0.1465,a
1.989,2.883,1.41,0.9387,2.717,0.1978,1.168,-0.06226,0.3491,0.1208,4.901,0.1672,a
1.971,2.993,1.425,0.9827,2.504,0.1514,1.047,0.3076,0.2454,0.2686,5.038,-0.05981,a
2.021,3.156,1.241,0.9277,2.506,0.2075,0.9973,0.1514,0.2551,0.1355,5.403,0.1636,a
1.936,3.199,1.438,1.035,2.588,0.2258,0.9363,0.2039,0.1538,0.1208,5.068,0.1294,a
1.924,3.063,1.532,1.021,2.524,0.238,0.9766,0.199,0.2954,0.1782,4.912,0.105,a
1.866,3.065,1.57,1.09,2.598,0.1697,1.133,0.1868,0.1965,0.2527,5.084,0.1318,a
1.936,3.273,2.148,1.1,3.077,0.2051,1.012,0.2356,0.21,0.2759,5.471,0.1062,a
1.71,3.682,3.169,0.9607,4.298,0.4163,1.012,0.3357,0.6226,0.3723,5.389,0.2637,a
1.646,4.792,3.999,1.074,5.4,1.123,0.9802,0.8618,1.014,0.6006,5.366,0.3271,a
1.388,5.537,4.247,1.06,5.443,1.722,0.979,1.162,1.279,0.6836,4.982,0.5505,a
1.191,5.096,4.401,1.367,5.698,2.206,1.298,1.355,1.393,0.7812,4.96,0.5005,a
0.9924,5.474,4.276,1.643,5.76,2.286,1.639,1.476,1.445,0.9778,0.7654,0.5103,a
0.9436,5.715,4.452,2.122,5.815,2.478,2.191,1.617,1.473,0.8081,0.7849,0.4089,a
0.9204,5.508,4.612,2.41,5.811,2.596,3.025,1.501,1.561,0.6348,0.5981,0.5237,a
0.8594,5.424,4.432,2.489,5.894,2.61,3.711,1.602,1.558,0.9717,0.6738,0.542,a
0.7495,5.667,4.43,2.708,5.892,2.675,4.464,1.829,1.678,0.8118,0.7092,0.5334,a
0.6702,5.691,4.52,4.29,5.914,2.671,5.079,1.702,1.599,1.038,0.6848,0.4724,a
0.8508,5.759,4.409,5.232,5.846,2.689,5.137,1.757,1.67,0.9619,0.9094,0.5359,a
0.542,5.443,4.503,5.525,5.945,2.758,5.046,1.821,1.677,1.086,0.8569,0.5542,a
0.5725,5.747,4.645,5.227,5.93,2.651,5.002,1.837,1.676,1.001,0.7031,0.6494,a
0.6445,5.573,4.68,5.555,5.928,2.671,5.159,1.797,1.671,0.9851,0.752,0.3223,a
0.6775,5.806,4.519,5.238,5.927,2.764,5.061,1.857,1.693,0.8594,0.9839,0.5151,a
0.6116,5.691,4.406,5.503,5.906,2.726,5.083,1.859,1.763,0.9607,0.7544,0.6055,a
0.5322,5.461,4.68,5.601,5.923,2.799,5.099,1.821,1.589,0.9937,0.9546,0.625,a
0.5298,5.68,4.738,5.535,5.916,2.798,5.127,1.759,1.844,1.028,0.7275,0.6238,a
0.5273,5.703,4.503,5.452,5.861,2.856,5.094,1.736,1.711,1.15,0.769,0.6201,a
0.5884,5.532,4.744,5.382,5.911,2.886,4.989,1.868,1.792,1.031,0.6665,0.5627,a
0.6311,5.773,4.524,5.479,5.822,2.8,5.1,1.885,1.803,1.049,0.6958,0.6836,a
0.4834,5.804,4.57,5.336,5.887,2.894,5.062,1.807,1.708,1.083,0.8447,0.4919,a
0.5054,5.79,4.489,5.555,5.9,2.919,5.216,1.809,1.849,0.9082,0.6897,0.6055,a
0.6091,5.686,4.503,5.36,5.892,2.822,5.001,1.84,1.714,1.03,0.9521,0.6079,a
0.6091,5.732,4.425,5.514,5.912,2.726,5.02,1.749,1.793,1.095,0.8081,0.6104,a
0.6287,5.411,4.534,5.503,5.896,3.008,4.971,1.854,1.76,1.116,0.7507,0.6116,a
0.5017,5.854,4.657,5.32,5.912,2.825,5.095,1.769,1.714,1.152,0.7788,0.6116,a
